	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
12x6	1190	460	459	270	158	239	203	362	295	166
10x18	418	709	1076	245	376	459	408	1357	558	213
15x11	773	881	997	484	153	278	181	512	332	216
13x7	842	604	776	244	144	220	198	196	217	180
11x27	535	1184	1686	375	316	363	215	783	430	420
12x28	287	254	349	141	87	135	83	178	104	156
4x10	1823	1324	376	719	605	709	8260	623	789	522
2x6	1129	1160	256	674	1028	633	5117	412	501	283
5x11	1837	1435	506	564	615	719	3436	365	1130	259
3x23	1213	1405	973	688	601	598	595	562	541	291
4x16	1204	1813	662	456	609	622	1418	416	1030	474
7x5	1492	348	627	302	141	196	185	243	122	145
5x21	883	2348	732	472	4402	847	664	663	1586	555
20x19	205	228	465	293	312	307	284	1643	217	179
16x19	314	971	277	754	508	1525	459	2940	746	352
6x26	1087	1226	1649	298	305	607	362	823	491	789
21x18	338	407	618	386	328	525	235	927	568	377
17x18	236	332	598	198	247	362	194	1522	408	274
14x21	325	293	1302	415	315	965	261	1477	503	242
15x16	408	569	653	642	913	2359	523	1177	920	292
11x16	252	639	423	322	272	729	205	742	558	318
24x8	108	141	216	44	41	55	47	46	57	48
12x27	442	599	1353	480	167	253	290	565	356	592
13x26	310	551	710	305	199	323	244	1162	418	813
7x2	818	224	529	192	134	198	179	214	127	138
16x10	446	284	619	205	148	178	126	288	222	132
19x7	1073	807	1290	407	159	244	208	476	379	311
17x11	817	640	1232	397	159	270	196	580	273	294
7x24	354	823	1402	513	626	583	458	1339	846	2500
22x16	301	466	653	337	170	195	177	801	263	155
18x16	321	468	1630	437	232	440	221	483	310	238
21x5	299	152	343	72	81	122	63	92	101	75
8x6	1779	515	1236	200	202	238	142	303	300	208
22x10	974	1396	2497	520	319	335	262	547	633	487
9x7	3173	552	2147	376	339	355	326	368	378	334
14x28	196	326	300	203	90	105	76	216	122	392
10x4	1981	566	701	425	232	187	250	421	301	266
15x25	472	1328	3081	435	397	468	274	2864	704	698
11x9	2118	1347	1306	385	365	467	292	460	424	309
24x15	156	441	383	74	92	112	63	285	91	80
14x6	1853	416	652	180	179	227	164	288	256	182
12x18	410	542	2112	524	358	1209	352	1342	856	396
15x7	3166	925	1969	463	187	368	276	534	364	383
13x19	240	349	1001	331	420	1497	489	1295	792	541
2x24	3352	1150	1224	637	814	536	579	664	819	473
4x6	991	673	372	168	196	289	484	266	207	148
5x7	1864	1174	356	483	582	418	4209	370	480	209
6x20	482	1180	587	429	694	486	407	767	633	522
17x12	344	754	591	321	137	207	170	521	232	132
7x17	602	1096	1315	580	394	483	478	903	663	332
18x11	239	254	529	118	93	97	74	194	116	73
21x14	195	293	288	136	89	142	99	302	117	133
8x13	663	1024	1260	536	324	359	253	570	502	313
22x13	210	300	501	161	129	130	106	308	216	157
9x8	2034	766	1439	539	261	349	570	386	349	267
23x8	1108	845	1625	453	280	313	156	799	244	269
10x15	392	762	797	551	374	593	406	557	517	343
8x19	387	509	1174	475	659	853	474	1110	1178	662
11x14	203	336	346	133	108	156	165	393	190	119
9x18	614	872	1623	490	604	725	429	1544	748	407
14x9	800	443	585	163	88	226	89	154	215	153
12x9	1100	2311	308	725	1841	1205	660	634	566	300
15x12	417	1002	1642	275	196	274	199	435	492	257
13x12	566	1286	1242	467	378	365	303	683	466	274
2x19	2664	2065	941	756	1068	679	2199	552	1642	591
3x10	1597	1203	645	668	895	691	5842	620	1196	496
4x13	1473	676	737	363	322	463	559	433	395	382
2x13	2221	1107	590	631	632	462	1720	399	847	369
3x16	1862	804	800	559	568	503	1240	627	1002	484
20x9	602	472	752	107	138	127	99	256	164	145
6x15	546	1404	424	326	362	446	470	350	406	296
19x21	1	6	1	1	2	3	2	6	3	0
17x5	1475	536	763	221	158	215	230	328	216	237
7x14	571	1551	970	806	1250	1708	872	542	789	553
18x2	1378	432	1296	312	183	275	239	247	343	180
22x4	2118	750	1458	382	215	316	226	335	453	283
8x26	701	1964	3506	319	360	399	330	1470	629	1145
11x7	4155	1111	1627	775	348	577	504	671	642	307
14x16	542	800	2029	543	685	582	552	2991	894	500
10x16	318	1498	597	757	1269	1359	533	1020	984	384
15x21	423	478	1257	362	273	693	291	1409	500	347
13x5	1620	367	796	171	169	299	169	282	134	261
5x9	1177	548	429	279	171	228	428	328	184	185
3x25	5152	1473	2749	700	910	1030	685	784	681	1176
6x6	2442	747	1834	301	229	318	722	267	393	341
4x18	1867	3245	622	824	8623	715	1068	490	1826	502
7x7	2545	643	1707	293	268	268	358	300	350	231
5x19	459	1791	541	384	633	837	421	627	577	242
6x24	517	794	1928	326	364	319	348	857	627	463
21x16	234	548	998	248	119	267	201	461	394	146
17x16	569	368	889	282	213	425	118	692	288	228
18x23	87	110	325	94	160	198	76	278	134	69
14x27	284	432	332	343	365	540	298	806	828	8268
10x27	193	333	499	135	84	150	46	194	114	103
15x18	210	394	789	286	158	386	205	738	307	134
19x12	258	288	313	122	70	161	48	208	176	119
11x18	368	995	959	691	830	1263	539	2508	1262	295
24x10	437	755	1354	256	113	178	139	297	218	220
12x21	228	420	1050	273	294	1395	339	425	700	225
13x24	231	419	944	231	177	168	125	340	194	183
16x20	312	319	778	409	504	1218	342	2229	731	369
4x25	1685	822	1579	373	462	434	398	641	383	913
20x15	349	778	1053	461	312	543	423	1562	484	319
16x12	329	841	1397	381	229	294	241	1111	410	221
6x19	343	1171	962	596	934	437	385	707	632	278
19x9	471	331	320	232	99	117	121	175	148	121
17x9	729	492	760	286	288	195	190	295	292	219
7x26	1084	1588	1940	496	552	455	385	1420	790	1178
20x2	2472	705	1213	271	223	261	165	372	395	275
18x14	300	1104	2051	650	376	612	275	1146	513	554
21x3	2125	690	1196	194	173	215	162	354	400	174
8x8	4090	792	2614	461	527	413	647	563	509	395
22x8	783	1006	1924	224	360	466	232	393	337	223
9x5	671	166	285	126	74	93	91	167	95	84
23x13	127	376	374	160	94	174	83	196	166	91
10x2	199	136	214	92	59	80	63	120	87	86
15x27	85	168	135	91	51	69	74	114	57	145
11x11	682	569	610	310	284	262	184	443	422	263
14x4	1772	514	743	330	194	255	206	379	187	184
12x12	602	720	813	575	286	745	371	918	590	275
13x17	257	414	654	292	230	830	194	686	328	163
2x22	2923	3025	626	1280	3390	1799	3203	834	1797	732
3x7	1337	586	601	508	345	396	970	286	495	270
16x3	4030	1087	1073	393	360	713	446	944	294	371
6x10	1698	887	968	637	355	542	1566	485	651	331
19x14	340	476	832	349	174	275	182	536	351	223
17x2	1388	337	693	165	71	226	212	224	218	128
7x19	354	900	1291	361	354	395	190	561	439	248
18x9	699	360	1904	258	224	272	228	555	457	296
16x25	154	453	608	213	120	242	115	347	190	155
21x12	324	493	681	266	145	302	151	367	198	182
8x15	625	1727	1899	418	423	410	447	678	602	467
22x3	533	272	544	151	122	92	114	262	267	132
9x14	936	2085	1303	434	366	419	328	1361	535	361
23x10	390	820	871	347	123	234	122	260	227	203
10x13	468	1064	1214	582	641	300	688	858	446	481
8x21	479	856	1706	586	792	890	538	1177	611	236
9x16	450	870	980	505	376	477	308	646	464	463
14x15	142	208	293	118	112	164	63	292	167	68
12x11	1252	1603	826	582	697	1775	499	781	696	286
10x23	486	827	1240	815	374	398	341	1343	430	332
15x14	331	870	1074	332	264	416	227	661	356	235
13x10	762	1869	853	1704	1118	737	706	470	753	255
2x17	1674	1131	585	633	1333	502	2484	626	1026	531
3x12	2553	697	584	751	582	556	835	555	642	373
4x15	2289	1027	907	393	385	530	999	529	660	263
2x11	2328	890	630	579	682	443	1311	394	624	391
5x14	1578	3381	790	598	1182	951	2097	1067	833	501
3x18	2432	3884	529	980	7263	1172	2362	1215	1267	711
6x13	918	575	568	541	418	350	469	955	615	1205
4x21	775	1540	517	471	918	694	660	346	916	342
7x8	2433	316	750	195	176	194	189	289	410	192
20x16	494	541	1072	478	592	996	539	2658	885	400
16x16	178	492	566	190	250	596	190	808	360	166
23x3	1107	515	929	233	147	219	121	335	344	172
9x25	538	1279	2916	577	348	687	284	1409	523	721
14x22	149	258	346	125	100	289	150	733	224	127
12x2	1814	454	793	241	210	225	193	331	238	228
15x23	314	349	920	518	195	564	254	901	577	321
13x3	712	298	474	130	82	178	81	165	76	135
12x24	300	651	975	250	187	355	143	586	315	201
6x4	252	222	331	107	72	81	142	180	88	119
5x17	647	2596	699	740	624	839	964	1560	731	548
16x23	341	420	704	252	316	538	212	1042	345	281
19x2	2056	458	978	263	223	275	172	419	408	278
17x22	650	1123	969	839	2222	11705	1045	1896	1359	579
20x5	1844	724	2410	361	248	270	251	409	485	270
18x21	389	366	471	367	1184	914	420	4771	609	325
8x3	435	163	178	162	48	75	82	120	74	96
9x2	339	108	107	64	42	56	43	93	74	51
14x25	172	382	550	111	128	203	96	406	171	175
10x25	270	425	742	320	189	504	191	726	328	357
11x20	726	468	1423	360	573	584	380	2129	543	311
24x12	165	330	424	87	61	75	58	116	83	96
14x3	898	343	1194	210	160	160	164	271	162	180
12x23	333	789	1291	398	266	439	308	1549	608	236
25x9	77	57	149	34	29	56	14	53	34	37
13x22	279	420	1005	375	215	701	263	901	586	238
5x26	1083	908	1262	366	369	255	358	404	432	1056
16x14	349	431	796	283	214	432	228	789	305	279
6x17	368	1087	642	401	558	634	424	526	669	220
19x11	401	307	1009	168	164	201	135	562	324	229
17x15	324	641	1034	309	239	265	168	469	282	189
20x12	393	464	568	229	118	239	106	424	230	282
8x10	1151	602	653	235	169	298	226	344	159	174
22x14	381	468	634	221	92	195	138	559	180	164
9x11	980	914	607	408	221	255	333	333	342	214
23x15	302	612	560	322	141	225	149	764	230	130
8x16	490	1547	1501	507	527	783	377	1148	585	435
11x13	457	921	1058	330	246	563	351	626	445	211
14x10	889	1927	664	1463	615	859	602	578	710	355
12x14	254	995	727	517	193	295	233	822	361	170
13x15	332	453	1106	321	404	398	157	1118	486	274
2x20	3775	2087	1251	504	757	658	623	634	1025	1415
3x9	1134	384	467	324	329	261	742	243	315	285
2x14	2724	1324	687	691	520	752	3625	569	738	648
16x5	1141	331	457	161	129	158	104	226	179	145
6x8	1646	404	602	223	177	209	278	226	227	177
19x16	312	597	1366	423	338	583	332	1333	725	281
7x13	1754	2776	1032	1395	2436	1342	1095	1025	1293	530
20x11	273	264	466	159	115	165	89	585	161	190
18x7	857	336	844	213	117	143	128	260	113	100
21x10	375	671	809	243	104	244	101	567	187	151
9x12	507	734	512	437	198	294	243	375	285	255
10x11	1010	1132	742	471	887	657	577	803	477	609
8x23	229	389	1542	234	470	601	232	572	410	473
11x2	2233	488	1827	302	151	196	201	232	322	243
9x22	433	845	2456	485	504	684	449	769	588	497
14x13	271	1118	395	715	428	616	277	695	620	176
12x5	1314	268	523	242	152	145	306	182	234	159
10x21	299	397	1231	222	199	531	169	688	456	330
15x8	398	258	769	121	97	163	136	295	134	136
13x8	1277	648	273	277	119	194	119	256	169	118
11x24	353	1208	833	598	518	1639	303	1260	508	457
3x14	2452	619	939	669	385	410	576	518	556	375
4x9	2174	560	637	253	262	276	537	306	413	347
2x9	2253	1597	488	951	662	1419	6388	407	1288	630
5x12	1610	471	726	311	348	292	447	330	296	227
3x20	3340	2807	2004	794	2293	946	1223	963	1734	767
6x3	231	90	161	65	41	74	48	75	54	45
4x23	834	1050	419	332	503	498	382	543	793	169
7x10	315	207	250	168	92	91	115	132	169	97
5x22	535	2011	503	512	3112	839	587	641	1242	369
20x18	518	519	924	446	446	899	346	3100	647	498
16x18	71	74	117	58	33	59	69	137	63	39
21x19	282	658	1088	510	917	1043	485	2236	571	325
17x19	95	83	213	96	52	78	64	251	115	64
14x20	272	452	1090	220	208	426	179	831	235	162
15x17	223	252	302	178	191	244	166	602	174	109
11x17	622	997	1653	795	531	1045	438	2841	911	397
12x26	814	723	3097	632	359	370	329	1030	761	948
